"","eps","kappa","n","Dist","MeanDist","MeanNTH","MeanBoot","MedianDist","MedianNTH","MedianBoot"
"5.1141",0.1,20,50,"Cayley",0.1668049951644,0.139764159171019,0.156521655679227,0.131880866646298,0.126256050944533,0.153012139536538
"5.1142",0.1,20,50,"Cayley",0.21686371229226,0.128758397437584,0.134239242502043,0.167698727260943,0.130055645707575,0.154597659735348
"5.1143",0.1,20,50,"Cayley",0.109596812459095,0.135230951939419,0.140785342355592,0.0715336107666739,0.123136046540981,0.148518984044537
"5.1144",0.1,20,50,"Cayley",0.110618790672234,0.143275415621922,0.147678333404353,0.0682403611901454,0.12657368238183,0.146508827236464
"5.1145",0.1,20,50,"Cayley",0.107069519635312,0.148859192775252,0.155845278138319,0.0635212870257837,0.14287542525416,0.175048024027302
"5.1146",0.1,20,50,"Cayley",0.103475618102067,0.144257663480604,0.151016094036949,0.146083350557103,0.141499462094947,0.157334675627839
"5.1147",0.1,20,50,"Cayley",0.0771695160175932,0.13519754743436,0.137058192994079,0.0524197921677645,0.143815211793813,0.166903363278306
"5.1148",0.1,20,50,"Cayley",0.143738095945801,0.125469344665273,0.131300235475874,0.0921868622420555,0.125729987311686,0.147396959993778
"5.1149",0.1,20,50,"Cayley",0.150718019666174,0.152055066312675,0.165776659445957,0.0405527694464769,0.128291564001954,0.135296456953463
"5.1150",0.1,20,50,"Cayley",0.0705691435855033,0.141443121899629,0.141056198970382,0.0836864854636767,0.149877985479483,0.173528996014162
"5.1151",0.1,20,50,"Cayley",0.107532657530534,0.145122948726569,0.145828220574573,0.0550039266299671,0.136417446539597,0.156413036669251
"5.1152",0.1,20,50,"Cayley",0.0611387499760016,0.136075230038773,0.137348672623252,0.0613801916041031,0.148861306582564,0.172553931505078
"5.1153",0.1,20,50,"Cayley",0.154477858546224,0.134043372960891,0.147530837120368,0.105367247259694,0.11500123165015,0.129466387191959
"5.1154",0.1,20,50,"Cayley",0.0897177749593422,0.136529626602793,0.138074247893767,0.0782899720050971,0.139892884177832,0.167131234535376
"5.1155",0.1,20,50,"Cayley",0.101723769378517,0.131921430583599,0.133807374708676,0.067959514462949,0.131711562547332,0.150178820331296
"5.1156",0.1,20,50,"Cayley",0.107212917931492,0.139138299518904,0.131138892491239,0.0515843774591044,0.142289762777112,0.160519216595635
"5.1157",0.1,20,50,"Cayley",0.190626952866226,0.135692545468034,0.134744409863989,0.0962615664036289,0.132469944864814,0.169171360120357
"5.1158",0.1,20,50,"Cayley",0.0952169752273267,0.12729560021313,0.137582645455244,0.0110050907388008,0.118837973752293,0.130776747417985
"5.1159",0.1,20,50,"Cayley",0.196393370651625,0.141521951844112,0.146890892817944,0.138423422533831,0.149375218307988,0.17990197005034
"5.1160",0.1,20,50,"Cayley",0.117871792355484,0.13591296509709,0.139478214427484,0.0563094969786597,0.124488111818271,0.139227674930643
"5.1161",0.1,20,50,"Cayley",0.0811857979104942,0.129423430148708,0.135149380276765,0.0981426185831032,0.11663725618303,0.141782941058827
"5.1162",0.1,20,50,"Cayley",0.0408577967123972,0.1420944079307,0.149691207104483,0.0150820849795229,0.131824112168968,0.164899351142935
"5.1163",0.1,20,50,"Cayley",0.139647787804116,0.129984540128674,0.131679290328492,0.0823343051119139,0.13732885957026,0.152375979935316
"5.1164",0.1,20,50,"Cayley",0.0781706927509068,0.129540878015701,0.133349181823931,0.0388822366305808,0.129527169918088,0.147272202743875
"5.1165",0.1,20,50,"Cayley",0.0774604507501394,0.128723303884265,0.142536310506642,0.0290121742961997,0.124479424974957,0.176444318441679
"5.1166",0.1,20,50,"Cayley",0.131235631066719,0.134031637395719,0.131628098193217,0.128487336942115,0.132872060058416,0.161283868811652
"5.1167",0.1,20,50,"Cayley",0.101091953022417,0.136712387641502,0.131996809212308,0.0675917597251412,0.158340043225092,0.182287579532394
"5.1168",0.1,20,50,"Cayley",0.127299918298604,0.146005022675426,0.146614381926585,0.110049772567867,0.158220827140459,0.184215945865099
"5.1169",0.1,20,50,"Cayley",0.0941968488233276,0.130197865477348,0.134897228553149,0.0642913416668505,0.129972362630208,0.135816225856288
"5.1170",0.1,20,50,"Cayley",0.138512353677966,0.133538724886743,0.135104286541998,0.107656477538849,0.111841340378814,0.139649529890738
"5.1171",0.1,20,50,"Cayley",0.172345312619104,0.135491712273558,0.133623728395747,0.090441214779638,0.137431203162135,0.151401730373605
"5.1172",0.1,20,50,"Cayley",0.196226398261486,0.127783647874066,0.134928943664239,0.145535715638539,0.133538043308843,0.15961232504806
"5.1173",0.1,20,50,"Cayley",0.133944971515863,0.123259577570993,0.133032166006912,0.0808537307290515,0.126870671250565,0.145613828338477
"5.1174",0.1,20,50,"Cayley",0.11980370465302,0.134828526853644,0.13797063330515,0.0589176908413822,0.128984486435124,0.151680607775103
"5.1175",0.1,20,50,"Cayley",0.123029943791259,0.151406667788639,0.165646953265892,0.078825748836906,0.163364452764104,0.189787992185448
"5.1176",0.1,20,50,"Cayley",0.173149419167241,0.135550883642164,0.153438447943958,0.150268654348308,0.136660711498225,0.155265532621167
"5.1177",0.1,20,50,"Cayley",0.201542699486551,0.125861089797388,0.126881702041356,0.145059265501651,0.141474377356775,0.163034737680854
"5.1178",0.1,20,50,"Cayley",0.14864921476518,0.133769912343955,0.139837667401028,0.126515665932315,0.096066556119828,0.11951172645258
"5.1179",0.1,20,50,"Cayley",0.156609750607232,0.132383035617514,0.130388654461204,0.181957477434468,0.138991490057248,0.160941738959556
"5.1180",0.1,20,50,"Cayley",0.0567028234292036,0.134848061199968,0.130154364751316,0.0309377801648408,0.123952683416951,0.167805889326375
"5.1181",0.1,20,50,"Cayley",0.139429083077182,0.143195192696718,0.146683825302338,0.060722643325935,0.135380171829435,0.155342635015846
"5.1182",0.1,20,50,"Cayley",0.239757714477032,0.122013717678979,0.127573351289868,0.190698731264306,0.12580929094251,0.140060969805444
