"","eps","kappa","n","Dist","MeanDist","MeanNTH","MeanBoot","MedianDist","MedianNTH","MedianBoot"
"1.31",0,20,25,"Fisher",0.0545089692085798,0.0729804824549476,0.0774631930264544,0.0602525657802566,0.0843024204113235,0.117553948304705
"1.32",0,20,25,"Fisher",0.0815772051463139,0.0753965157839328,0.0807935434337103,0.0974171563893418,0.0861478679860778,0.123598330985865
"1.33",0,20,25,"Fisher",0.0462355678027673,0.0934372369297815,0.098153555170697,0.0543070078822542,0.103450294500543,0.162827286027779
"1.34",0,20,25,"Fisher",0.0579607129781357,0.072015820263312,0.0786157271814066,0.0721050221874711,0.0583868395900491,0.0818516874076971
"1.35",0,20,25,"Fisher",0.0340219064102519,0.0804392473082105,0.0798043620068479,0.0394394412685632,0.0938844508552752,0.128561453928776
"1.36",0,20,25,"Fisher",0.0277053418118979,0.064430585887865,0.0693920216353834,0.0465536875942981,0.0751469918300453,0.0923066379903571
"1.37",0,20,25,"Fisher",0.0529467238345505,0.0777754077716801,0.0869785356245638,0.0515843447035732,0.0751828114134582,0.112280957807243
"1.38",0,20,25,"Fisher",0.00614077912998984,0.0721115009546676,0.0757976398872166,0.0254494203960944,0.0805178127773952,0.104356751246208
"1.39",0,20,25,"Fisher",0.0508208727961302,0.0824341953931744,0.088329876607463,0.052191973401676,0.090816709912512,0.14288615341896
"1.40",0,20,25,"Fisher",0.0522175975422398,0.071808149508601,0.0763653290875191,0.0412553921208045,0.0732135431110254,0.101246882067964
"1.41",0,20,25,"Fisher",0.0501698484983404,0.0720691125367582,0.0744946922146658,0.0667910742838404,0.0638807958823548,0.116052797229779
"1.42",0,20,25,"Fisher",0.0571366086314046,0.0792448713364637,0.0821951365388632,0.0282923292355434,0.0981392708385859,0.118864423960284
"1.43",0,20,25,"Fisher",0.0252456279057666,0.0751972321125876,0.0730744085679017,0.0419836664672533,0.0925433043322799,0.112415275401277
"1.44",0,20,25,"Fisher",0.0673761817646889,0.0826106073497322,0.0838984023467798,0.0494909198336202,0.0961809103589678,0.131378329091147
"1.45",0,20,25,"Fisher",0.060529963006971,0.0698788038565168,0.0768028625125251,0.0598872872845575,0.0566865497958704,0.116732173099724
"1.46",0,20,25,"Fisher",0.0702793694492616,0.0736810418644831,0.0733616753284403,0.0792585334116639,0.0681053936445461,0.104063116151854
"1.47",0,20,25,"Fisher",0.0458871802113458,0.0774485395060817,0.082462251953262,0.0551186701891885,0.0854110156957306,0.111655072366134
"1.48",0,20,25,"Fisher",0.0589366283198644,0.0894167668013026,0.0964452999985804,0.0924743446809032,0.080230067544341,0.194454707895127
"1.49",0,20,25,"Fisher",0.061516285346756,0.0768837258814375,0.084073076109634,0.0608380967694363,0.0771015192978944,0.101250540574309
"1.50",0,20,25,"Fisher",0.0388201607857394,0.075882813319587,0.0811663006630394,0.0518544111994807,0.083444688199414,0.114901596705387
"1.51",0,20,25,"Fisher",0.0874693207322505,0.0760418542425963,0.0811956906020448,0.0823104317690021,0.0903120857519987,0.128231186076597
"1.52",0,20,25,"Fisher",0.0274219476976668,0.0704830530605858,0.0754516044975763,0.0336683436330177,0.0854651258746125,0.114599197985801
"1.53",0,20,25,"Fisher",0.0819113578465752,0.0609890603203174,0.063819896988341,0.0688253028776219,0.0607356581465612,0.0837208143120389
"1.54",0,20,25,"Fisher",0.0213801518070913,0.0703990004121647,0.0696701075692205,0.0193389940572423,0.072080103270149,0.140024512022247
"1.55",0,20,25,"Fisher",0.0161163620059107,0.0732197198941952,0.0770374347023962,0.0326684614033592,0.0775719636673076,0.106807966305673
"1.56",0,20,25,"Fisher",0.062273756566688,0.0671515429842035,0.0705690379799017,0.0688754177877164,0.0667053939360619,0.0880613492671341
"1.57",0,20,25,"Fisher",0.0583582453587251,0.0848988866839551,0.0893746387755834,0.0746288075431509,0.085062805281348,0.112736667567645
"1.58",0,20,25,"Fisher",0.0259000953269143,0.0819513920809875,0.083613340431595,0.0119449656024953,0.0968786113709707,0.132953138926407
