"","Kappa","n","cover","width","Saccept","Kaccept"
"269",2,10,1,0.540331856015895,0.3446,0.381
"270",2,10,1,0.715740498838105,0.4536,0.4242
"271",2,10,1,0.622666681628502,0.3844,0.4012
"272",2,10,1,0.797977013711395,0.4482,0.4278
"273",2,10,1,0.548841935945817,0.3332,0.3748
"274",2,10,1,0.668611152878944,0.429,0.421
"275",2,10,1,0.827538942001051,0.4542,0.4518
"276",2,10,1,0.71481148140847,0.4432,0.4442
"277",2,10,1,0.961118090599088,0.532,0.4786
"278",2,10,1,0.829424247622582,0.5036,0.4602
"279",2,10,1,0.692409752508467,0.4198,0.4006
"280",2,10,1,0.657841571508609,0.4156,0.41
"281",2,10,1,0.819380161862532,0.4784,0.4208
"282",2,10,0,0.628069331089334,0.374,0.398
"283",2,10,0,0.899933959396563,0.4882,0.4704
"284",2,10,1,0.779854814062597,0.4508,0.4372
"285",2,10,1,0.707520817807739,0.4304,0.4184
"286",2,10,1,0.723713136654629,0.447,0.419
"287",2,10,0,0.59484118415186,0.3574,0.3898
"288",2,10,1,0.594695735069049,0.344,0.3866
"289",2,10,1,0.767814674578238,0.4608,0.4456
"290",2,10,1,0.616867266413043,0.369,0.3902
"291",2,10,1,0.602783765746764,0.351,0.4
"292",2,10,1,0.600371056782759,0.3664,0.402
"293",2,10,1,0.56967971235802,0.3548,0.389
"294",2,10,1,0.724622954232044,0.4382,0.4146
"295",2,10,1,1.41542242634193,0.5492,0.485
"296",2,10,1,1.07745568917865,0.4968,0.4776
"297",2,10,1,0.730183828511734,0.428,0.418
"298",2,10,1,0.749630008760548,0.4648,0.444
"299",2,10,1,0.611763777612988,0.3724,0.3832
"300",2,10,1,0.638100779798945,0.3946,0.4112
"301",2,10,1,0.852323619911582,0.507,0.4648
"302",2,10,1,0.810547625009263,0.4796,0.4504
"303",2,10,1,1.02954407410285,0.5364,0.4868
"304",2,10,1,0.60869579307632,0.3646,0.3974
"305",2,10,1,0.589104263492266,0.3472,0.3918
"306",2,10,1,0.709014321942523,0.4266,0.414
"307",2,10,1,0.826127052261589,0.4978,0.4502
"308",2,10,0,0.637370285146591,0.387,0.3992
"309",2,10,1,0.521215938059485,0.3246,0.3838
"310",2,10,1,0.762797827506619,0.4692,0.4308
"311",2,10,1,0.709184831491061,0.4502,0.4374
"312",2,10,1,0.769539260078608,0.4474,0.4276
"313",2,10,1,0.596615388041479,0.3708,0.398
"314",2,10,1,0.68528632500382,0.4324,0.4154
"315",2,10,0,0.495582897542854,0.3048,0.3826
"316",2,10,1,0.731004833171084,0.4394,0.4252
"317",2,10,1,0.859031479956716,0.4886,0.4562
"318",2,10,1,0.477605053847693,0.2758,0.3696
"319",2,10,0,0.553811534129479,0.3326,0.3812
"320",2,10,1,0.659531237129474,0.413,0.4094
"321",2,10,1,0.686302627701972,0.4162,0.406
"322",2,10,1,1.19292356101733,0.5264,0.505
"323",2,10,1,0.755378649699294,0.4434,0.4288
"324",2,10,1,0.551522418362815,0.3236,0.3854
"325",2,10,1,0.960988669699708,0.4994,0.4812
"326",2,10,1,0.66303620348878,0.404,0.4012
"327",2,10,1,0.789406661237457,0.4696,0.4444
"328",2,10,1,1.58620923217253,0.5856,0.5262
"329",2,10,1,0.722685051837153,0.438,0.4268
"330",2,10,1,0.702407779984092,0.424,0.4194
"331",2,10,1,0.850042481537353,0.4784,0.4444
"332",2,10,1,0.649584876454601,0.3916,0.3968
"333",2,10,1,0.600705306187989,0.3848,0.3942
"334",2,10,0,0.633803497931496,0.3822,0.3996
"335",2,10,1,0.88802724134044,0.5026,0.4632
"336",2,10,1,0.608179464703931,0.3828,0.3866
"337",2,10,1,0.700510176735915,0.4114,0.409
"338",2,10,0,0.614635892996783,0.3734,0.396
"339",2,10,1,0.7652698244269,0.4656,0.4614
"340",2,10,1,0.628679873469909,0.395,0.4054
"341",2,10,1,0.771277720936254,0.4566,0.4342
"342",2,10,0,0.644824380368365,0.3836,0.4002
"343",2,10,1,1.22953805364281,0.5468,0.5112
"344",2,10,1,0.966287966409629,0.5324,0.4912
"345",2,10,1,0.571045171064812,0.3366,0.3946
"346",2,10,1,0.816288507421765,0.468,0.451
"347",2,10,1,0.689913881244241,0.4078,0.4144
"348",2,10,1,0.625717618299466,0.3746,0.398
"349",2,10,1,0.598831162486416,0.3858,0.3836
"350",2,10,1,0.817999887594932,0.4874,0.4566
