"","Kappa","n","cover","width","Saccept","Kaccept"
"175",1.15,10,1,0.950269251954926,0.5122,0.4678
"176",1.15,10,1,1.43735095533704,0.6176,0.5372
"177",1.15,10,1,1.04235299936785,0.5614,0.4844
"178",1.15,10,0,1.08483739105539,0.5688,0.4958
"179",1.15,10,1,1.28897947283171,0.6296,0.5272
"180",1.15,10,1,0.926357730959929,0.5094,0.4556
"181",1.15,10,0,0.461813975880482,0.267,0.385
"182",1.15,10,1,0.935473244791301,0.4926,0.447
"183",1.15,10,1,0.499166240209067,0.2728,0.3824
"184",1.15,10,1,0.710826779763773,0.4072,0.4238
"185",1.15,10,1,0.567710790131078,0.3304,0.3864
"186",1.15,10,1,0.413251888414533,0.2214,0.3968
"187",1.15,10,1,1.16658354799604,0.57,0.49
"188",1.15,10,1,1.91274503177432,0.6436,0.5536
"189",1.15,10,1,0.943986791832397,0.5174,0.456
"190",1.15,10,1,1.0811942583036,0.535,0.4826
"191",1.15,10,1,1.35749928810977,0.6038,0.5288
"192",1.15,10,1,0.844538033464742,0.4544,0.4302
"193",1.15,10,1,0.813777790595011,0.4634,0.437
"194",1.15,10,1,0.652293340930905,0.3788,0.3972
"195",1.15,10,1,0.643068561548734,0.38,0.4094
"196",1.15,10,1,0.72451345974367,0.4104,0.4116
"197",1.15,10,1,0.503352903886068,0.2806,0.3734
"198",1.15,10,1,0.844337917330311,0.4782,0.4442
"199",1.15,10,0,0.608705104331672,0.3662,0.4048
"200",1.15,10,1,0.69066575149397,0.4214,0.4084
"201",1.15,10,1,0.717456327420609,0.4232,0.4266
"202",1.15,10,1,0.702912962581181,0.4162,0.4142
"203",1.15,10,1,0.686509644398073,0.3988,0.3958
"204",1.15,10,1,0.624063482732342,0.3662,0.404
"205",1.15,10,1,1.65341258784972,0.6446,0.5598
"206",1.15,10,1,0.6665506165888,0.3766,0.4082
"207",1.15,10,1,0.903086216073118,0.5128,0.453
"208",1.15,10,1,0.637415865066299,0.3876,0.4098
"209",1.15,10,1,0.768619643766903,0.4494,0.4188
"210",1.15,10,1,1.3163220758257,0.5728,0.4996
"211",1.15,10,1,0.949356922890192,0.4954,0.4608
"212",1.15,10,1,0.562594760231129,0.3184,0.3926
"213",1.15,10,1,0.895933294529581,0.5066,0.4544
"214",1.15,10,1,0.936365792729668,0.5146,0.466
"215",1.15,10,1,0.778249819735056,0.431,0.428
"216",1.15,10,1,0.990756399737248,0.5126,0.4804
"217",1.15,10,1,0.633655470996889,0.3704,0.405
"218",1.15,10,1,1.54879122038333,0.6604,0.5588
"219",1.15,10,1,1.68745827376101,0.6176,0.534
"220",1.15,10,1,0.64018485341833,0.3896,0.4062
"221",1.15,10,1,0.660845052915689,0.3952,0.4018
"222",1.15,10,1,0.605401717772024,0.3448,0.4086
"223",1.15,10,1,0.884754616388186,0.4992,0.4624
"224",1.15,10,1,0.939825620718523,0.4964,0.4474
"225",1.15,10,1,0.558499080005906,0.3198,0.3828
"226",1.15,10,1,1.15165428204015,0.5638,0.5046
"227",1.15,10,1,0.521244069082551,0.2906,0.3948
"228",1.15,10,1,2.20420669864652,0.719,0.6086
"229",1.15,10,1,0.569941633939278,0.3304,0.402
"230",1.15,10,1,0.562462274402831,0.3106,0.3914
"231",1.15,10,1,0.680290837654412,0.382,0.419
"232",1.15,10,1,0.710482203661341,0.4102,0.4144
"233",1.15,10,1,0.757435512259066,0.4576,0.4232
"234",1.15,10,1,1.01762212835105,0.5394,0.4814
"235",1.15,10,0,0.602339510058253,0.3278,0.3894
"236",1.15,10,1,1.40992782341501,0.5924,0.5154
"237",1.15,10,1,0.806566055463342,0.4586,0.4328
"238",1.15,10,1,0.837096441508564,0.4698,0.4492
"239",1.15,10,1,1.28718763341831,0.5942,0.5224
"240",1.15,10,1,0.812471130147526,0.4714,0.4502
"241",1.15,10,1,1.83786339861976,0.677,0.5744
"242",1.15,10,1,0.588988361622622,0.34,0.4024
"243",1.15,10,1,0.959052443402054,0.5334,0.48
"244",1.15,10,1,0.580033634576985,0.3486,0.3998
"245",1.15,10,1,0.763977037072425,0.4282,0.4142
"246",1.15,10,1,0.774021458379988,0.45,0.4308
"247",1.15,10,1,1.85563675665204,0.666,0.579
"248",1.15,10,1,2.52231301314426,0.8178,0.663
"249",1.15,10,1,0.620518353454083,0.3562,0.3906
"250",1.15,10,1,1.77378747621842,0.6818,0.586
